Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,DotBalls,BowledWickets,LbwWickets,HitWicketWickets,CaughtAndBowledWickets,StumpedWickets,raw_FIB,FIB
2015,B Kumar,7.87741935483871,407,51.666666666666664,310,18,14,14,0,147,8,1,0,1,0,7.782499354838711,7.702004964365037
2020,R Ashwin,7.666666666666667,391,51.0,306,13,14,6,0,107,2,1,0,1,0,7.7846745098039225,7.642257682026049
2023,B Kumar,8.333333333333334,425,51.0,306,16,11,17,0,141,2,2,0,1,0,7.787829411764706,7.902602973213215
2018,Washington Sundar,9.6,192,20.0,120,4,13,6,0,31,0,1,0,0,1,7.789389999999999,9.745711155516503
2022,Arshdeep Singh,7.78,389,50.0,300,10,6,21,4,125,3,0,0,0,0,7.791078000000001,7.1373428977382165
2025,RA Jadeja,8.616740088105725,326,37.833333333333336,227,10,17,5,2,80,1,0,0,0,1,7.792766960352423,8.894137983472662
2016,S Aravind,7.405714285714286,216,29.166666666666668,175,11,6,11,0,75,2,1,0,0,0,7.794203999999999,7.916962633348215
2020,DJ Bravo,8.571428571428571,180,21.0,126,6,3,9,0,44,0,0,0,1,0,7.794204761904762,7.654165749420509
2021,RA Jadeja,7.1020408163265305,348,49.0,294,13,14,6,2,109,4,2,0,0,0,7.8012428571428565,7.4313069620542835
2018,L Ngidi,6.0,156,26.0,156,11,6,7,0,86,2,0,0,1,0,7.802961538461539,7.714524989563629
2017,TA Boult,9.062937062937063,216,23.833333333333332,143,5,5,5,0,63,0,0,0,0,0,7.810009090909091,7.913435359536608
2017,NM Coulter-Nile,8.152941176470588,231,28.333333333333332,170,15,6,8,3,82,1,2,0,1,0,7.812490588235293,7.91722408248777
2015,PV Tambe,7.823529411764706,266,34.0,204,7,12,0,0,70,3,1,0,1,0,7.820955882352942,7.747962859189658
2026,Ravi Bishnoi,9.923076923076923,258,26.0,156,11,14,8,1,49,2,0,0,1,1,7.830869230769233,9.242408028531575
2017,BA Stokes,7.181818181818182,316,44.0,264,12,11,11,0,126,5,0,0,0,0,7.837570454545453,7.955515747805346
2023,Rashid Khan,8.238805970149254,552,67.0,402,27,26,5,0,139,8,6,0,1,0,7.84308208955224,7.954356902456822
2018,JJ Bumrah,6.925925925925926,374,54.0,324,17,11,13,2,141,2,0,0,0,0,7.850016666666667,7.76657042854976
2026,AR Patel,8.181818181818182,360,44.0,264,11,20,8,0,86,3,0,0,0,1,7.852240909090911,8.549644741879913
2021,DL Chahar,8.351851851851851,451,54.0,324,14,13,15,0,147,2,2,0,0,0,7.864142592592593,7.5083651188275615
