Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,FI Wickets,DotBalls
2021,Rashid Khan,6.666666666666667,380,57.0,342,18,9,11,0,8,141
2009,A Symonds,6.666666666666667,160,24.0,144,7,8,4,0,1,70
2017,S Nadeem,6.672897196261682,119,17.833333333333332,107,6,5,3,0,2,50
2025,JJ Bumrah,6.676056338028169,316,47.333333333333336,284,18,12,5,0,9,133
2014,Shakib Al Hasan,6.68,334,50.0,300,11,13,8,0,4,125
2008,DW Steyn,6.684210526315789,254,38.0,228,10,5,24,2,4,140
2024,SP Narine,6.6909090909090905,368,55.0,330,17,17,5,0,8,131
2008,AB Dinda,6.6923076923076925,261,39.0,234,9,1,15,1,3,130
2019,Imran Tahir,6.699481865284975,431,64.33333333333333,386,26,18,5,0,6,151
2012,SW Tait,6.700729927007299,153,22.833333333333332,137,6,2,25,2,3,87
2010,DE Bollinger,6.709677419354839,208,31.0,186,12,8,8,1,5,103
2017,AJ Tye,6.714285714285714,141,21.0,126,12,4,2,0,2,51
2011,SR Watson,6.722222222222222,242,36.0,216,6,3,12,1,2,95
2013,R Ashwin,6.724137931034483,390,58.0,348,15,17,6,0,5,133
2018,Rashid Khan,6.735294117647059,458,68.0,408,21,19,3,0,12,170
2009,R Bhatia,6.7384615384615385,146,21.666666666666668,130,10,2,4,0,6,49
2012,DL Vettori,6.742857142857143,236,35.0,210,5,5,2,0,1,73
2013,STR Binny,6.75,162,24.0,144,6,5,5,0,2,63
2019,A Mishra,6.75,270,40.0,240,11,10,3,0,1,86
2011,A Mishra,6.75,360,53.333333333333336,320,19,14,4,2,6,140
2019,JJ Bumrah,6.754010695187166,421,62.333333333333336,374,20,11,9,4,6,175
2013,JP Faulkner,6.759894459102902,427,63.166666666666664,379,28,9,16,0,10,186
2019,MM Ali,6.76,169,25.0,150,6,8,1,0,4,64
2016,A Zampa,6.764705882352941,115,17.0,102,12,5,5,0,2,35
2009,JD Ryder,6.764705882352941,115,17.0,102,3,6,2,0,1,45
2021,Mohammed Siraj,6.788461538461538,353,52.0,312,11,6,9,0,3,156
2020,JJ Bumrah,6.790322580645161,421,62.0,372,29,13,12,1,11,189
2019,JC Archer,6.790697674418604,292,43.0,258,11,14,5,2,2,126
2015,MA Starc,6.790697674418604,292,43.0,258,20,2,16,1,11,126
2009,Z Khan,6.809523809523809,143,21.0,126,6,3,7,1,3,57
2012,Ankit Sharma,6.827586206896552,165,24.166666666666668,145,4,9,2,0,2,65
2009,AD Mascarenhas,6.8275862068965525,132,19.333333333333332,116,6,5,0,0,1,59
2011,CH Gayle,6.833333333333333,246,36.0,216,8,10,13,2,4,95
2022,MJ Santner,6.842105263157895,130,19.0,114,4,4,0,0,1,43
2020,CV Varun,6.846153846153846,356,52.0,312,17,9,1,0,7,112
2017,KH Pandya,6.85,274,40.0,240,10,7,6,1,2,82
2013,SK Trivedi,6.852367688022284,410,59.833333333333336,359,12,7,10,0,3,144
2013,R Sharma,6.853658536585366,281,41.0,246,9,7,1,0,4,87
2015,GB Hogg,6.857142857142857,144,21.0,126,9,9,2,0,4,55
2011,Shakib Al Hasan,6.862745098039215,175,25.5,153,11,7,7,0,6,66
2009,PP Chawla,6.869888475836431,308,44.833333333333336,269,12,12,5,0,2,120
2022,GJ Maxwell,6.875,165,24.0,144,6,11,2,0,4,65
2010,DW Steyn,6.88135593220339,406,59.0,354,15,6,29,0,3,199
2009,A Nehra,6.882352941176471,351,51.0,306,19,9,20,5,8,160
2012,P Kumar,6.888888888888889,434,63.0,378,9,9,22,0,0,196
2011,RP Singh,6.9,345,50.0,300,13,6,14,0,8,160
2016,Mustafizur Rahman,6.901639344262295,421,61.0,366,17,10,10,0,4,153
2010,A Mishra,6.90566037735849,366,53.0,318,17,16,11,3,5,145
2013,Yuvraj Singh,6.909090909090909,152,22.0,132,6,3,1,0,2,40
2012,P Negi,6.909090909090909,152,22.0,132,7,7,1,0,2,51
2012,BW Hilfenhaus,6.911764705882353,235,34.0,204,14,9,11,2,3,119
2008,MF Maharoof,6.916666666666667,249,36.0,216,15,10,11,0,5,100
2018,JJ Bumrah,6.925925925925926,374,54.0,324,17,11,13,2,2,141
2009,YK Pathan,6.942857142857143,243,35.0,210,7,7,11,0,3,98
2009,I Sharma,6.953488372093023,299,43.0,258,11,7,16,2,0,145
2010,M Muralitharan,6.965753424657534,339,48.666666666666664,292,16,15,19,0,5,147
2008,M Ntini,6.9714285714285715,244,35.0,210,7,8,4,2,4,110
2022,KH Pandya,6.973684210526316,265,38.0,228,10,8,4,0,1,76
2017,KV Sharma,6.978260869565217,214,30.666666666666668,184,13,11,5,0,3,83
2011,Harbhajan Singh,6.981132075471698,370,53.0,318,14,11,12,0,6,139
2008,M Muralitharan,6.982758620689655,405,58.0,348,11,14,26,1,3,159
2017,SP Narine,6.983050847457627,412,59.0,354,10,6,18,0,7,141
2018,Mujeeb Ur Rahman,6.991935483870967,289,41.333333333333336,248,14,9,7,0,5,99
2009,RG Sharma,7.0,161,23.0,138,11,4,2,0,5,42
2010,RR Powar,7.0,161,23.0,138,3,4,14,1,1,71
2008,A Mishra,7.008403361344539,139,19.833333333333332,119,11,8,4,1,3,48
2014,YS Chahal,7.0181818181818185,386,55.0,330,12,19,6,0,1,121
2010,A Symonds,7.018867924528302,372,53.0,318,12,13,7,0,4,125
2015,Sandeep Sharma,7.02,351,50.0,300,13,10,11,1,7,158
2010,SL Malinga,7.020408163265306,344,49.0,294,15,5,24,0,8,141
